rho,betai1,psii1,Li1,gammai1,betai2,psii2,Li2,gammai2,betai3,psii3,Li3,gammai3,betai4,psii4,Li4,gammai4,betai5,psii5,Li5,gammai5,betai6,psii6,Li6,gammai6,betai7,psii7,Li7,gammai7,betai8,psii8,Li8,gammai8,betai9,psii9,Li9,gammai9,betai10,psii10,Li10,gammai10,beta,eta,L,gamma
4.538425,0.2731158539792701,0.05745451988453398,3.985059813824861,0.2365197824247488,0.2731158539792701,0.05745451988453398,3.985059813824861,0.2365197824247488,0.2731158539792701,0.05745451988453398,3.985059813824861,0.2365197824247488,0.8457632264144882,1.1386914533839665e-05,5.817648070727242,0.1718888115830048,0.8457632264144882,1.1386914533839665e-05,5.817648070727242,0.1718888115830048,0.8457632264144882,1.1386914533839665e-05,5.817648070727242,0.1718888115830048,0.8457632264144882,1.1386914533839665e-05,5.817648070727242,0.1718888115830048,0.8072098305841289,4.145756431439551e-05,5.7612217876936,0.1735670972729555,0.8072098305841289,4.145756431439551e-05,5.7612217876936,0.1735670972729555,0.8072098305841289,4.145756431439551e-05,5.7612217876936,0.1735670972729555,0.7834608587782035,0.9827466519995319,52.50943708746435,0.1871561963923899
4.52595,0.2716017865492611,0.05808745880932231,3.975674000515032,0.236918957909692,0.2716017865492611,0.05808745880932231,3.975674000515032,0.236918957909692,0.2716017865492611,0.05808745880932231,3.975674000515032,0.236918957909692,0.8453381277964448,1.1570714742004107e-05,5.817053724304351,0.17190634239927785,0.8453381277964448,1.1570714742004107e-05,5.817053724304351,0.17190634239927785,0.8453381277964448,1.1570714742004107e-05,5.817053724304351,0.17190634239927785,0.8453381277964448,1.1570714742004107e-05,5.817053724304351,0.17190634239927785,0.8066785658627513,4.212019030791492e-05,5.760407013562396,0.1735915322398877,0.8066785658627513,4.212019030791492e-05,5.760407013562396,0.1735915322398877,0.8066785658627513,4.212019030791492e-05,5.760407013562396,0.1735915322398877,0.7829060201694199,0.982556498014214,52.4764579394497,0.18723757978252706
4.513475,0.2700849503547754,0.05872762037214874,3.966231726601684,0.23732157990535388,0.2700849503547754,0.05872762037214874,3.966231726601684,0.23732157990535388,0.2700849503547754,0.05872762037214874,3.966231726601684,0.23732157990535388,0.8449106798170862,1.1757982033455683e-05,5.816455493771944,0.1719239910094247,0.8449106798170862,1.1757982033455683e-05,5.816455493771944,0.1719239910094247,0.8449106798170862,1.1757982033455683e-05,5.816455493771944,0.1719239910094247,0.8449106798170862,1.1757982033455683e-05,5.816455493771944,0.1719239910094247,0.8061443667652232,4.279518361804957e-05,5.759586673125325,0.17361613976264292,0.8061443667652232,4.279518361804957e-05,5.759586673125325,0.17361613976264292,0.8061443667652232,4.279518361804957e-05,5.759586673125325,0.17361613976264292,0.7823485956739636,0.9823641721404569,52.4432771742688,0.18731937153280193
4.501,0.26856538238941263,0.05937508175278461,3.9567327701730504,0.23772768414837286,0.26856538238941263,0.05937508175278461,3.9567327701730504,0.23772768414837286,0.26856538238941263,0.05937508175278461,3.9567327701730504,0.23772768414837286,0.8444808629535419,1.194879127419668e-05,5.815853340983226,0.17194175860006614,0.8444808629535419,1.194879127419668e-05,5.815853340983226,0.17194175860006614,0.8444808629535419,1.194879127419668e-05,5.815853340983226,0.17194175860006614,0.8444808629535419,1.194879127419668e-05,5.815853340983226,0.17194175860006614,0.8056072089440605,4.348280824695294e-05,5.758760709376866,0.17364092165933295,0.8056072089440605,4.348280824695294e-05,5.758760709376866,0.17364092165933295,0.8056072089440605,4.348280824695294e-05,5.758760709376866,0.17364092165933295,0.78178856895908,0.982169651115181,52.40989380258265,0.18740157246164496
4.488525,0.267043120510302,0.060029920711000884,3.9471769124903497,0.23813730677096856,0.267043120510302,0.060029920711000884,3.9471769124903497,0.23813730677096856,0.267043120510302,0.060029920711000884,3.9471769124903497,0.23813730677096856,0.8440486574661843,1.214321914988492e-05,5.815247227291317,0.1719596463737337,0.8440486574661843,1.214321914988492e-05,5.815247227291317,0.1719596463737337,0.8440486574661843,1.214321914988492e-05,5.815247227291317,0.1719596463737337,0.8440486574661843,1.214321914988492e-05,5.815247227291317,0.1719596463737337,0.8050670677823378,4.4183334534708685e-05,5.757929064535053,0.17366587977342693,0.8050670677823378,4.4183334534708685e-05,5.757929064535053,0.17366587977342693,0.8050670677823378,4.4183334534708685e-05,5.757929064535053,0.17366587977342693,0.7812259235497898,0.9819729114986797,52.37630684024148,0.18748418335296133
4.47605,0.2655182034474821,0.06069221558317217,3.937563938105341,0.23855048430497353,0.2655182034474821,0.06069221558317217,3.937563938105341,0.23855048430497353,0.2655182034474821,0.06069221558317217,3.937563938105341,0.23855048430497353,0.8436140433956174,1.2341344219235495e-05,5.814637113541047,0.17197765554913536,0.8436140433956174,1.2341344219235495e-05,5.814637113541047,0.17197765554913536,0.8436140433956174,1.2341344219235495e-05,5.814637113541047,0.17197765554913536,0.8436140433956174,1.2341344219235495e-05,5.814637113541047,0.17197765554913536,0.8045239183899687,4.489703933674427e-05,5.757091680028307,0.1736910159741883,0.8045239183899687,4.489703933674427e-05,5.757091680028307,0.1736910159741883,0.8045239183899687,4.489703933674427e-05,5.757091680028307,0.1736910159741883,0.7806606428266976,0.9817739296755603,52.34251530856514,0.18756720495526255
4.463575,0.2639906708132153,0.06136204527859945,3.9278936349798235,0.23896725368588603,0.2639906708132153,0.06136204527859945,3.9278936349798235,0.23896725368588603,0.2639906708132153,0.06136204527859945,3.9278936349798235,0.23896725368588603,0.843177000559612,1.2543246957430476e-05,5.814022960060604,0.1719957873614278,0.843177000559612,1.2543246957430476e-05,5.814022960060604,0.1719957873614278,0.843177000559612,1.2543246957430476e-05,5.814022960060604,0.1719957873614278,0.843177000559612,1.2543246957430476e-05,5.814022960060604,0.1719957873614278,0.8039777355999216,4.562420619436125e-05,5.756248496482013,0.17371633215712234,0.8039777355999216,4.562420619436125e-05,5.756248496482013,0.17371633215712234,0.8039777355999216,4.562420619436125e-05,5.756248496482013,0.17371633215712234,0.7800927100237411,0.9815726818557795,52.308518234627925,0.18765063798079148
4.4511,0.2624605631112314,0.06203948927554348,3.918165794607101,0.23938765225694383,0.2624605631112314,0.06203948927554348,3.918165794607101,0.23938765225694383,0.2624605631112314,0.06203948927554348,3.918165794607101,0.23938765225694383,0.8427375085499926,1.2749009817514256e-05,5.813404726653011,0.17201404306249152,0.8427375085499926,1.2749009817514256e-05,5.813404726653011,0.17201404306249152,0.8427375085499926,1.2749009817514256e-05,5.813404726653011,0.17201404306249152,0.8427375085499926,1.2749009817514256e-05,5.813404726653011,0.17201404306249152,0.8034284939643745,4.636512551725591e-05,5.755399453704816,0.17374183024443274,0.8034284939643745,4.636512551725591e-05,5.755399453704816,0.17374183024443274,0.8034284939643745,4.636512551725591e-05,5.755399453704816,0.17374183024443274,0.7795221082258869,0.981369144075755,52.2743146515478,0.1877344831046384
4.438625,0.26092792174589446,0.06272462761696307,3.9083802121354014,0.23981171777321603,0.26092792174589446,0.06272462761696307,3.9083802121354014,0.23981171777321603,0.26092792174589446,0.06272462761696307,3.9083802121354014,0.23981171777321603,0.8422955467294708,1.2958717282129939e-05,5.81278237258743,0.1720324239212135,0.8422955467294708,1.2958717282129939e-05,5.81278237258743,0.1720324239212135,0.8422955467294708,1.2958717282129939e-05,5.81278237258743,0.1720324239212135,0.8422955467294708,1.2958717282129939e-05,5.81278237258743,0.1720324239212135,0.8028761677508057,4.712009476581791e-05,5.754544490674647,0.1737675121854871,0.8028761677508057,4.712009476581791e-05,5.754544490674647,0.1737675121854871,0.8028761677508057,4.712009476581791e-05,5.754544490674647,0.1737675121854871,0.7789488203667648,0.9811632921995684,52.23990359877986,0.18781874096384915
4.42615,0.2593927890312841,0.06341754090594809,3.8985366864932534,0.24023948840571535,0.2593927890312841,0.06341754090594809,3.8985366864932534,0.24023948840571535,0.2593927890312841,0.06341754090594809,3.8985366864932534,0.24023948840571535,0.8418510942284239,1.3172455911925063e-05,5.812155856590304,0.1720509312237765,0.8418510942284239,1.3172455911925063e-05,5.812155856590304,0.1720509312237765,0.8418510942284239,1.3172455911925063e-05,5.812155856590304,0.1720509312237765,0.8418510942284239,1.3172455911925063e-05,5.812155856590304,0.1720509312237765,0.8023207309380188,4.7889418642310666e-05,5.753683545524459,0.1737933799572931,0.8023207309380188,4.7889418642310666e-05,5.753683545524459,0.1737933799572931,0.8023207309380188,4.7889418642310666e-05,5.753683545524459,0.1737933799572931,0.7783728292262444,0.9809551019202583,52.205284122414355,0.18790341215652628
