rho,1beta,1eta,1L,1gamma,2beta,2eta,2L,2gamma,3beta,3eta,3L,3gamma,6beta,6eta,6L,6gamma,10beta,10eta,10L,10gamma
3.3907249999999998,0.7195665292188764,0.9508727802143252,9.634374060136683,2.4673963619200476,0.7059579659226684,0.9970156759968603,19.586664632017737,1.2725694940003573,0.7051325841951612,0.9998143184548619,29.582129365940794,0.8449478958113746,0.7050778360615989,0.999999954320035,59.58171702101223,0.41959178264675245,0.7050778225897727,0.9999999999992929,99.58171684322133,0.2510501002843888
3.37825,0.7185952754318891,0.9506555107722208,9.632737758647622,2.467251612654944,0.7048804922469915,0.9969874770666011,19.584549181325386,1.2726709558590028,0.7040445103159053,0.9998116330252929,29.579943945362622,0.8450080524764125,0.7039887654934324,0.9999999529718121,59.57952294255758,0.4196072339887407,0.7039887515727795,0.9999999999992576,99.57952275833529,0.2510556317954318
3.365775,0.7176173833809241,0.9504363514510703,9.631087054854397,2.4671055978359626,0.7037951499776258,0.9969588790840564,19.58241225025279,1.272773326318859,0.7029483861376021,0.9998088956477122,29.577735613095594,0.8450688287350209,0.7028916218175779,0.9999999515769418,59.577305725052796,0.4196228494252102,0.7028916074309125,0.9999999999992205,99.57730553413214,0.2510612218906773
3.3533,0.7166327862200726,0.9502152779682304,9.62942176147814,2.466958301093175,0.7027018535358421,0.9969298745382605,19.58025351439647,1.27287661751323,0.7018441221893396,0.9998061050624877,29.575504008332892,0.8451302341126565,0.7017863149334767,0.9999999501335727,59.57506500052118,0.4196386315838785,0.7017863000628692,0.9999999999991805,99.57506480262273,0.2510668715057771
3.3408249999999997,0.715641416227725,0.9499922656310105,9.6277416880385,2.4668097057778366,0.7016005161173936,0.9969004557421084,19.578072642878343,1.2729808417897788,0.7007316276748273,0.9998032599732449,29.573248762687825,0.8451922783291597,0.7006727533948153,0.9999999486397662,59.5728003931422,0.419654583148857,0.7006727380215546,0.9999999999991397,99.57280018797331,0.2510725815964154
3.32835,0.7146432047927207,0.949767289328148,9.626046640786104,2.4666597949565565,0.700491049671033,0.9968706148274171,19.575869298185747,1.2730860117152052,0.6996108104479339,0.999800359045619,29.570969499994835,0.8452549713036916,0.6995508443843044,0.9999999470935005,59.570511519041325,0.41967070686217667,0.6995508284888621,0.9999999999990958,99.57051130629556,0.2510783531388446
3.315875,0.713638082400255,0.9495403235210547,9.624336422633405,2.4665085514052567,0.6993733648765926,0.9968403437398284,19.573643136006652,1.2731921400800614,0.6984815769876886,0.9997974009059479,29.568665836104273,0.8453183231598193,0.6984204936878932,0.9999999454926572,59.5681979860732,0.41968700552535315,0.6984204772498815,0.9999999999990491,99.56819776542949,0.2510841871304447
3.3034,0.7126259786175281,0.9493113422348577,9.622610833083739,2.46635595760302,0.6982473711226175,0.9968096342335454,19.57139380506011,1.2732992399036802,0.6973438323727291,0.9997943841399266,29.566337378670575,0.8453823442307631,0.6972816056683941,0.9999999438350268,59.56585939359753,0.41970348200101365,0.6972815886665252,0.9999999999990005,99.56585916471943,0.25109008459029714
3.290925,0.7116068220791366,0.9490803190492174,9.620869668158633,2.466201995725779,0.6971129764835441,0.9967784778658927,19.569120946921583,1.273407324439241,0.6961974802551889,0.9997913072911925,29.56398372693389,0.8454470450647906,0.6961340832385139,0.9999999421182937,59.563495332248,0.419720139214567,0.6961340656505546,0.9999999999989487,99.56349509478291,0.2510960465597768
3.2784500000000003,0.710580540472202,0.9488472270889095,9.61911272032327,2.4660466476398186,0.6959700876964108,0.9967468659917021,19.566824195843147,1.2735164071789624,0.6950424228340003,0.9997881688598718,29.561604471494523,0.8455124364307942,0.6949778278332631,0.9999999403400386,59.56110538369334,0.419736980155937,0.6949778096359883,0.9999999999988942,99.56110513727154,0.251102074103167
3.265975,0.7095470605212275,0.948612039014184,9.617339778410043,2.4658898948951617,0.6948186101370927,0.9967147897575088,19.564503178568295,1.2736265018594344,0.693878560827607,0.9997849673010561,29.559199194080296,0.8455785293240279,0.6938127393817377,0.9999999384977292,59.55868912039052,0.41975400788134926,0.693812720550881,0.9999999999988366,99.55868886462436,0.25110816830829147
3.2535,0.7085063079726857,0.9483747270108672,9.615550627540198,2.4657317187187324,0.693658447796048,0.9966822400955577,19.56215751414115,1.273737622467094,0.692705793446067,0.9997817010232211,29.556767467306326,0.8456453349720254,0.6926387162782498,0.9999999365887142,59.55624610532993,0.41977122551517737,0.6926386967884508,0.9999999999987753,99.5562458398128,0.25111433028716934
3.241025,0.707458207579323,0.9481352627802248,9.613745049043471,2.4655721000073756,0.6924895032535687,0.9966492077176025,19.55978681370997,1.2738497832438347,0.691524018362529,0.9997783683865845,29.554308854427013,0.8457128648407095,0.6914556553527905,0.9999999346102221,59.553775891771764,0.4197886362518564,0.6914556351775408,0.9999999999987107,99.55377561607708,0.2511205611766922
3.2285500000000003,0.70640268308418,0.9478936175285708,9.61192282037562,2.465411019320712,0.6913116776545174,0.9966156831085079,19.557390680324687,1.2739629986927816,0.69033313168407,0.9997749677013961,29.551822909079966,0.8457811306406833,0.6902634518408121,0.9999999325593463,59.551278022973904,0.4198062433578515,0.690263430952396,0.9999999999986421,99.55127773665396,0.251126862139322
3.216075,0.7053396572043246,0.9476497619566019,9.610083715033904,2.465248456873767,0.690124870682547,0.9965816565196276,19.554968708728214,1.274077283584211,0.6891330279218751,0.9997714972261554,29.549309175021524,0.8458501443337273,0.689061999352302,0.9999999304330455,59.54875203191027,0.4198240501737037,0.6890619777217354,0.9999999999985699,99.54875173449514,0.25113323436381546
3.2036,0.7042690516142867,0.9474036662484712,9.608227502470326,2.465084392529446,0.6889289805337868,0.9965471179619605,19.552520485141496,1.2741926529616274,0.6879235999607433,0.9997679551657628,29.546767185853536,0.8459199181394993,0.6878511898401382,0.9999999282281333,59.54619744097984,0.41984206011613884,0.6878511674371042,0.999999999998493,99.54619713197606,0.25113967906597073
3.191125,0.7031907869291942,0.947155300060575,9.606353948002663,2.4649188057907914,0.6877239038899852,0.9965120571990711,19.550045587041865,1.2743091221480038,0.686704739027901,0.9997643396695896,29.54419646474114,0.8459904645424491,0.6866309135677003,0.9999999259412723,59.543613761705586,0.41986027668025266,0.6866308903604805,0.9999999999984116,99.543613440595,0.25114619748940126
