rho,betak1,psii1,Li1,gammai1,psii2,Li2,gammai2,psii3,Li3,gammai3,psii4,Li4,gammai4,psii5,Li5,gammai5,psii6,Li6,gammai6,psii7,Li7,gammai7,psii8,Li8,gammai8,psii9,Li9,gammai9,psii10,Li10,gammai10,beta,eta,L,gamma
3.030000e+00,6.699670e-01,5.105507e-11,5.980296e+00,1.672158e-01,5.105507e-11,5.980296e+00,1.672158e-01,5.105507e-11,5.980296e+00,1.672158e-01,5.105507e-11,5.980296e+00,1.672158e-01,5.105507e-11,5.980296e+00,1.672158e-01,1.409591e-07,5.921182e+00,6.755407e-01,1.409591e-07,5.921182e+00,6.755407e-01,1.409591e-07,5.921182e+00,6.755407e-01,1.409591e-07,5.921182e+00,6.755407e-01,1.409591e-07,5.921182e+00,6.755407e-01,6.699670e-01,9.999999e-01,5.950739e+01,4.201158e-01
3.040000e+00,6.710527e-01,4.960469e-11,5.980392e+00,1.672131e-01,4.960469e-11,5.980392e+00,1.672131e-01,4.960469e-11,5.980392e+00,1.672131e-01,4.960469e-11,5.980392e+00,1.672131e-01,4.960469e-11,5.980392e+00,1.672131e-01,1.372075e-07,5.921569e+00,6.754966e-01,1.372075e-07,5.921569e+00,6.754966e-01,1.372075e-07,5.921569e+00,6.754966e-01,1.372075e-07,5.921569e+00,6.754966e-01,1.372075e-07,5.921569e+00,6.754966e-01,6.710527e-01,9.999999e-01,5.950980e+01,4.200988e-01
3.050000e+00,6.721312e-01,4.820216e-11,5.980488e+00,1.672104e-01,4.820216e-11,5.980488e+00,1.672104e-01,4.820216e-11,5.980488e+00,1.672104e-01,4.820216e-11,5.980488e+00,1.672104e-01,4.820216e-11,5.980488e+00,1.672104e-01,1.335718e-07,5.921951e+00,6.754529e-01,1.335718e-07,5.921951e+00,6.754529e-01,1.335718e-07,5.921951e+00,6.754529e-01,1.335718e-07,5.921951e+00,6.754529e-01,1.335718e-07,5.921951e+00,6.754529e-01,6.721312e-01,9.999999e-01,5.951220e+01,4.200819e-01
3.060000e+00,6.732026e-01,4.684567e-11,5.980583e+00,1.672078e-01,4.684567e-11,5.980583e+00,1.672078e-01,4.684567e-11,5.980583e+00,1.672078e-01,4.684567e-11,5.980583e+00,1.672078e-01,4.684567e-11,5.980583e+00,1.672078e-01,1.300479e-07,5.922330e+00,6.754097e-01,1.300479e-07,5.922330e+00,6.754097e-01,1.300479e-07,5.922330e+00,6.754097e-01,1.300479e-07,5.922330e+00,6.754097e-01,1.300479e-07,5.922330e+00,6.754097e-01,6.732026e-01,9.999999e-01,5.951456e+01,4.200652e-01
3.070000e+00,6.742671e-01,4.553351e-11,5.980676e+00,1.672052e-01,4.553351e-11,5.980676e+00,1.672052e-01,4.553351e-11,5.980676e+00,1.672052e-01,4.553351e-11,5.980676e+00,1.672052e-01,4.553351e-11,5.980676e+00,1.672052e-01,1.266321e-07,5.922705e+00,6.753670e-01,1.266321e-07,5.922705e+00,6.753670e-01,1.266321e-07,5.922705e+00,6.753670e-01,1.266321e-07,5.922705e+00,6.753670e-01,1.266321e-07,5.922705e+00,6.753670e-01,6.742671e-01,9.999999e-01,5.951691e+01,4.200487e-01
3.080000e+00,6.753247e-01,4.426403e-11,5.980769e+00,1.672026e-01,4.426403e-11,5.980769e+00,1.672026e-01,4.426403e-11,5.980769e+00,1.672026e-01,4.426403e-11,5.980769e+00,1.672026e-01,4.426403e-11,5.980769e+00,1.672026e-01,1.233204e-07,5.923077e+00,6.753246e-01,1.233204e-07,5.923077e+00,6.753246e-01,1.233204e-07,5.923077e+00,6.753246e-01,1.233204e-07,5.923077e+00,6.753246e-01,1.233204e-07,5.923077e+00,6.753246e-01,6.753247e-01,9.999999e-01,5.951923e+01,4.200323e-01
3.090000e+00,6.763754e-01,4.303564e-11,5.980861e+00,1.672000e-01,4.303564e-11,5.980861e+00,1.672000e-01,4.303564e-11,5.980861e+00,1.672000e-01,4.303564e-11,5.980861e+00,1.672000e-01,4.303564e-11,5.980861e+00,1.672000e-01,1.201093e-07,5.923445e+00,6.752826e-01,1.201093e-07,5.923445e+00,6.752826e-01,1.201093e-07,5.923445e+00,6.752826e-01,1.201093e-07,5.923445e+00,6.752826e-01,1.201093e-07,5.923445e+00,6.752826e-01,6.763754e-01,9.999999e-01,5.952153e+01,4.200160e-01
3.100000e+00,6.774194e-01,4.184684e-11,5.980952e+00,1.671975e-01,4.184684e-11,5.980952e+00,1.671975e-01,4.184684e-11,5.980952e+00,1.671975e-01,4.184684e-11,5.980952e+00,1.671975e-01,4.184684e-11,5.980952e+00,1.671975e-01,1.169954e-07,5.923810e+00,6.752411e-01,1.169954e-07,5.923810e+00,6.752411e-01,1.169954e-07,5.923810e+00,6.752411e-01,1.169954e-07,5.923810e+00,6.752411e-01,1.169954e-07,5.923810e+00,6.752411e-01,6.774194e-01,9.999999e-01,5.952381e+01,4.200000e-01
3.110000e+00,6.784566e-01,4.069618e-11,5.981043e+00,1.671949e-01,4.069618e-11,5.981043e+00,1.671949e-01,4.069618e-11,5.981043e+00,1.671949e-01,4.069618e-11,5.981043e+00,1.671949e-01,4.069618e-11,5.981043e+00,1.671949e-01,1.139751e-07,5.924171e+00,6.751999e-01,1.139751e-07,5.924171e+00,6.751999e-01,1.139751e-07,5.924171e+00,6.751999e-01,1.139751e-07,5.924171e+00,6.751999e-01,1.139751e-07,5.924171e+00,6.751999e-01,6.784566e-01,9.999999e-01,5.952607e+01,4.199840e-01
3.120000e+00,6.794872e-01,3.958225e-11,5.981132e+00,1.671924e-01,3.958225e-11,5.981132e+00,1.671924e-01,3.958225e-11,5.981132e+00,1.671924e-01,3.958225e-11,5.981132e+00,1.671924e-01,3.958225e-11,5.981132e+00,1.671924e-01,1.110455e-07,5.924528e+00,6.751592e-01,1.110455e-07,5.924528e+00,6.751592e-01,1.110455e-07,5.924528e+00,6.751592e-01,1.110455e-07,5.924528e+00,6.751592e-01,1.110455e-07,5.924528e+00,6.751592e-01,6.794872e-01,9.999999e-01,5.952830e+01,4.199683e-01
