rho,betak1,betak2,psii1,Li1,gammai1,psii2,Li2,gammai2,psii3,Li3,gammai3,psii4,Li4,gammai4,psii5,Li5,gammai5,psii6,Li6,gammai6,psii7,Li7,gammai7,psii8,Li8,gammai8,psii9,Li9,gammai9,psii10,Li10,gammai10,beta,eta,L,gamma
4.320000e+00,5.825898e-01,8.150016e-01,1.011774e-05,5.819473e+00,1.718351e-01,1.011774e-05,5.819473e+00,1.718351e-01,1.011774e-05,5.819473e+00,1.718351e-01,6.066676e-10,5.969880e+00,1.675076e-01,6.066676e-10,5.969880e+00,1.675076e-01,6.066676e-10,5.969880e+00,1.675076e-01,6.066676e-10,5.969880e+00,1.675076e-01,1.241404e-09,5.965076e+00,1.676425e-01,1.241404e-09,5.965076e+00,1.676425e-01,1.241404e-09,5.965076e+00,1.676425e-01,7.685192e-01,9.999970e-01,5.923316e+01,1.688238e-01
4.330000e+00,5.834938e-01,8.154438e-01,9.941832e-06,5.820117e+00,1.718161e-01,9.941832e-06,5.820117e+00,1.718161e-01,9.941832e-06,5.820117e+00,1.718161e-01,5.961848e-10,5.969970e+00,1.675050e-01,5.961848e-10,5.969970e+00,1.675050e-01,5.961848e-10,5.969970e+00,1.675050e-01,5.961848e-10,5.969970e+00,1.675050e-01,1.221608e-09,5.965174e+00,1.676397e-01,1.221608e-09,5.965174e+00,1.676397e-01,1.221608e-09,5.965174e+00,1.676397e-01,7.690538e-01,9.999970e-01,5.923575e+01,1.688165e-01
4.340000e+00,5.843940e-01,8.158839e-01,9.769473e-06,5.820757e+00,1.717973e-01,9.769473e-06,5.820757e+00,1.717973e-01,9.769473e-06,5.820757e+00,1.717973e-01,5.859128e-10,5.970060e+00,1.675025e-01,5.859128e-10,5.970060e+00,1.675025e-01,5.859128e-10,5.970060e+00,1.675025e-01,5.859128e-10,5.970060e+00,1.675025e-01,1.202181e-09,5.965272e+00,1.676369e-01,1.202181e-09,5.965272e+00,1.676369e-01,1.202181e-09,5.965272e+00,1.676369e-01,7.695859e-01,9.999971e-01,5.923833e+01,1.688091e-01
4.350000e+00,5.852903e-01,8.163219e-01,9.600583e-06,5.821393e+00,1.717786e-01,9.600583e-06,5.821393e+00,1.717786e-01,9.600583e-06,5.821393e+00,1.717786e-01,5.758466e-10,5.970149e+00,1.675000e-01,5.758466e-10,5.970149e+00,1.675000e-01,5.758466e-10,5.970149e+00,1.675000e-01,5.758466e-10,5.970149e+00,1.675000e-01,1.183116e-09,5.965369e+00,1.676342e-01,1.183116e-09,5.965369e+00,1.676342e-01,1.183116e-09,5.965369e+00,1.676342e-01,7.701156e-01,9.999971e-01,5.924088e+01,1.688019e-01
4.360000e+00,5.861829e-01,8.167578e-01,9.435085e-06,5.822024e+00,1.717600e-01,9.435085e-06,5.822024e+00,1.717600e-01,9.435085e-06,5.822024e+00,1.717600e-01,5.659817e-10,5.970238e+00,1.674975e-01,5.659817e-10,5.970238e+00,1.674975e-01,5.659817e-10,5.970238e+00,1.674975e-01,5.659817e-10,5.970238e+00,1.674975e-01,1.164405e-09,5.965466e+00,1.676315e-01,1.164405e-09,5.965466e+00,1.676315e-01,1.164405e-09,5.965466e+00,1.676315e-01,7.706429e-01,9.999972e-01,5.924342e+01,1.687946e-01
4.370000e+00,5.870717e-01,8.171917e-01,9.272899e-06,5.822650e+00,1.717415e-01,9.272899e-06,5.822650e+00,1.717415e-01,9.272899e-06,5.822650e+00,1.717415e-01,5.563133e-10,5.970326e+00,1.674950e-01,5.563133e-10,5.970326e+00,1.674950e-01,5.563133e-10,5.970326e+00,1.674950e-01,5.563133e-10,5.970326e+00,1.674950e-01,1.146041e-09,5.965563e+00,1.676288e-01,1.146041e-09,5.965563e+00,1.676288e-01,1.146041e-09,5.965563e+00,1.676288e-01,7.711677e-01,9.999972e-01,5.924594e+01,1.687875e-01
4.380000e+00,5.879567e-01,8.176235e-01,9.113951e-06,5.823272e+00,1.717232e-01,9.113951e-06,5.823272e+00,1.717232e-01,9.113951e-06,5.823272e+00,1.717232e-01,5.468371e-10,5.970414e+00,1.674926e-01,5.468371e-10,5.970414e+00,1.674926e-01,5.468371e-10,5.970414e+00,1.674926e-01,5.468371e-10,5.970414e+00,1.674926e-01,1.128016e-09,5.965658e+00,1.676261e-01,1.128016e-09,5.965658e+00,1.676261e-01,1.128016e-09,5.965658e+00,1.676261e-01,7.716901e-01,9.999973e-01,5.924845e+01,1.687803e-01
4.390000e+00,5.888380e-01,8.180532e-01,8.958168e-06,5.823890e+00,1.717050e-01,8.958168e-06,5.823890e+00,1.717050e-01,8.958168e-06,5.823890e+00,1.717050e-01,5.375486e-10,5.970502e+00,1.674901e-01,5.375486e-10,5.970502e+00,1.674901e-01,5.375486e-10,5.970502e+00,1.674901e-01,5.375486e-10,5.970502e+00,1.674901e-01,1.110322e-09,5.965753e+00,1.676234e-01,1.110322e-09,5.965753e+00,1.676234e-01,1.110322e-09,5.965753e+00,1.676234e-01,7.722102e-01,9.999973e-01,5.925094e+01,1.687732e-01
4.400000e+00,5.897156e-01,8.184809e-01,8.805477e-06,5.824504e+00,1.716869e-01,8.805477e-06,5.824504e+00,1.716869e-01,8.805477e-06,5.824504e+00,1.716869e-01,5.284437e-10,5.970588e+00,1.674877e-01,5.284437e-10,5.970588e+00,1.674877e-01,5.284437e-10,5.970588e+00,1.674877e-01,5.284437e-10,5.970588e+00,1.674877e-01,1.092954e-09,5.965848e+00,1.676208e-01,1.092954e-09,5.965848e+00,1.676208e-01,1.092954e-09,5.965848e+00,1.676208e-01,7.727279e-01,9.999974e-01,5.925341e+01,1.687662e-01
4.410000e+00,5.905895e-01,8.189066e-01,8.655808e-06,5.825113e+00,1.716690e-01,8.655808e-06,5.825113e+00,1.716690e-01,8.655808e-06,5.825113e+00,1.716690e-01,5.195182e-10,5.970675e+00,1.674853e-01,5.195182e-10,5.970675e+00,1.674853e-01,5.195182e-10,5.970675e+00,1.674853e-01,5.195182e-10,5.970675e+00,1.674853e-01,1.075904e-09,5.965942e+00,1.676181e-01,1.075904e-09,5.965942e+00,1.676181e-01,1.075904e-09,5.965942e+00,1.676181e-01,7.732432e-01,9.999974e-01,5.925586e+01,1.687592e-01
